Date,Commodity,Price,Unit,Source,Retrieved_At
2026-03-27,AMS,475.00,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-03-27,DAP,871.67,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-03-27,Potash,466.67,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-03-27,Urea,640.00,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-04-03,AMS,559.85,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-04-03,Anhydrous Ammonia,983.25,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-04-03,DAP,859.19,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-04-03,MAP,947.96,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-04-03,Potash,557.56,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-04-03,UAN 28%,530.06,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-04-03,UAN 32%,480.26,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-04-03,Urea,788.82,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-04-04,DAP,895.00,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-04-04,Potash,550.00,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-04-04,Urea,835.00,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-04-10,DAP,901.96,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-04-10,Potash,530.60,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-04-10,UAN 28%,591.00,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-04-10,Urea,775.00,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-04-17,AMS,543.42,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-04-17,Anhydrous Ammonia,1037.42,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-04-17,DAP,719.15,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-04-17,MAP,951.14,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-04-17,Potash,544.81,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-04-17,UAN 28%,537.55,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-04-17,UAN 32%,455.58,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-04-17,Urea,869.54,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-04-24,AMS,475.00,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-04-24,DAP,920.29,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-04-24,Potash,530.60,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-04-24,UAN 28%,607.67,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-04-24,Urea,775.00,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-05-01,AMS,574.46,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-05-01,Anhydrous Ammonia,1038.17,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-05-01,DAP,725.99,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-05-01,MAP,979.36,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-05-01,Potash,563.39,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-05-01,UAN 28%,553.15,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-05-01,UAN 32%,503.38,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-05-01,Urea,881.73,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-05-08,DAP,920.29,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-05-08,Potash,530.60,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-05-08,UAN 28%,607.67,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-05-08,Urea,775.00,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-05-15,AMS,556.27,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-05-15,Anhydrous Ammonia,1046.92,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-05-15,DAP,725.99,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-05-15,MAP,981.60,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-05-15,Potash,545.06,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-05-15,UAN 28%,562.06,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-05-15,UAN 32%,471.04,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-05-15,Urea,885.01,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-05-22,DAP,920.29,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-05-22,Potash,530.60,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-05-22,UAN 28%,607.67,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-05-22,Urea,775.00,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-05-29,AMS,575.57,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-05-29,Anhydrous Ammonia,1065.75,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-05-29,DAP,730.57,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-05-29,MAP,1002.93,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-05-29,Potash,564.98,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-05-29,UAN 28%,561.73,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-05-29,UAN 32%,525.31,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-05-29,Urea,902.35,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-06-05,DAP,920.29,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-06-05,Potash,530.60,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-06-05,UAN 28%,607.67,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-06-05,Urea,775.00,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-06-12,AMS,560.77,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-06-12,Anhydrous Ammonia,1043.00,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-06-12,DAP,730.57,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-06-12,MAP,982.03,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-06-12,Potash,544.76,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-06-12,UAN 28%,560.73,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-06-12,UAN 32%,468.32,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-06-12,Urea,820.96,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-06-19,DAP,920.29,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-06-19,Potash,530.60,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-06-19,UAN 28%,607.67,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-06-19,Urea,775.00,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-06-26,AMS,406.01,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-06-26,Anhydrous Ammonia,1016.75,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-06-26,DAP,737.21,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-06-26,MAP,992.24,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-06-26,Potash,547.03,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-06-26,UAN 28%,543.20,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-06-26,UAN 32%,656.10,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-06-26,Urea,748.76,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-07-03,AMS,687.33,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-07-03,MAP,1083.17,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
2026-07-03,Potash,664.00,USD/short ton,FertilizerPrice.com,2026-09-21T00:00:00
