Date,Commodity,Price,Unit,Source,Retrieved_At
2026-04-03,Urea,788.82,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-04-03,UAN 28%,530.06,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-04-03,UAN 32%,480.26,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-04-03,Anhydrous Ammonia,983.25,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-04-03,DAP,859.19,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-04-03,MAP,947.96,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-04-03,Potash (MOP),557.56,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-04-03,Ammonium Sulfate (AMS),559.85,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-04-17,Urea,838.75,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-04-17,UAN 28%,565.66,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-04-17,UAN 32%,575.0,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-04-17,Anhydrous Ammonia,1123.5,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-04-17,DAP,888.26,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-04-17,MAP,894.0,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-04-17,Potash (MOP),517.8,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-04-17,Ammonium Sulfate (AMS),550.0,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-05-01,Urea,874.8,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-05-01,UAN 28%,553.15,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-05-01,UAN 32%,485.97,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-05-01,Anhydrous Ammonia,1038.17,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-05-01,DAP,689.1,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-05-01,MAP,987.31,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-05-01,Potash (MOP),581.27,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-05-01,Ammonium Sulfate (AMS),580.44,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-05-15,Urea,885.01,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-05-15,UAN 28%,562.06,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-05-15,UAN 32%,471.04,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-05-15,Anhydrous Ammonia,1046.92,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-05-15,DAP,725.99,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-05-15,MAP,981.6,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-05-15,Potash (MOP),545.06,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-05-15,Ammonium Sulfate (AMS),562.69,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-05-29,Urea,921.25,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-05-29,UAN 28%,584.39,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-05-29,UAN 32%,450.83,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-05-29,Anhydrous Ammonia,1133.5,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-05-29,DAP,895.15,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-05-29,MAP,1017.06,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-05-29,Potash (MOP),564.53,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-05-29,Ammonium Sulfate (AMS),590.61,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-06-12,Urea,777.34,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-06-12,UAN 28%,584.39,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-06-12,UAN 32%,583.4,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-06-12,Anhydrous Ammonia,1088.0,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-06-12,DAP,895.15,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-06-12,MAP,918.33,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-06-12,Potash (MOP),511.95,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-06-26,Urea,685.0,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-06-26,UAN 28%,570.5,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-06-26,UAN 32%,605.0,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-06-26,Anhydrous Ammonia,1057.5,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-06-26,DAP,908.42,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-06-26,MAP,905.0,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-06-26,Potash (MOP),515.09,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-06-26,Ammonium Sulfate (AMS),475.0,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-07-10,Urea,821.33,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-07-10,UAN 28%,575.0,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-07-10,UAN 32%,685.18,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-07-10,Anhydrous Ammonia,1057.5,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-07-10,DAP,903.94,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-07-10,MAP,1011.49,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-07-10,Potash (MOP),562.49,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-07-10,Ammonium Sulfate (AMS),688.0,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-07-24,Urea,709.1,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-07-24,UAN 28%,534.39,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-07-24,UAN 32%,556.02,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-07-24,Anhydrous Ammonia,976.4,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-07-24,DAP,705.54,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-07-24,MAP,941.8,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-07-24,Potash (MOP),506.71,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-07-24,Ammonium Sulfate (AMS),425.0,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-07-31,Urea,806.5,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-07-31,UAN 28%,600.0,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
